,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2001-01-01,21.57991744769897,-22.618053494208823,75.11586653771144,21.57991744769897,21.57991744769897,5.958217912787403,5.958217912787403,5.958217912787403,-0.3858446644323966,-0.3858446644323966,-0.3858446644323966,6.344062577219801,6.344062577219801,6.344062577219801,0.0,0.0,0.0,27.538135360486375
1,2001-01-02,21.582126297189298,-17.258571206650828,76.64377242267071,21.582126297189298,21.582126297189298,6.579940582733969,6.579940582733969,6.579940582733969,-0.10202092709822111,-0.10202092709822111,-0.10202092709822111,6.68196150983219,6.68196150983219,6.68196150983219,0.0,0.0,0.0,28.162066879923266
2,2001-01-03,21.58433514667962,-17.720864481974637,74.66963093419612,21.58433514667962,21.58433514667962,7.397962517185339,7.397962517185339,7.397962517185339,0.3707654067938074,0.3707654067938074,0.3707654067938074,7.027197110391532,7.027197110391532,7.027197110391532,0.0,0.0,0.0,28.98229766386496
3,2001-01-04,21.586543996169947,-13.789950189567715,81.4260701458773,21.586543996169947,21.586543996169947,8.068434781113094,8.068434781113094,8.068434781113094,0.6889319772819278,0.6889319772819278,0.6889319772819278,7.3795028038311665,7.3795028038311665,7.3795028038311665,0.0,0.0,0.0,29.65497877728304
4,2001-01-05,21.58875284566027,-14.140226400715129,78.57557786342961,21.58875284566027,21.58875284566027,8.421968969841704,8.421968969841704,8.421968969841704,0.683744945843486,0.683744945843486,0.683744945843486,7.738224023998218,7.738224023998218,7.738224023998218,0.0,0.0,0.0,30.010721815501974
5,2001-01-08,21.59537939413124,-16.118905516356822,78.53820112468931,21.59537939413124,21.59537939413124,8.454054061719443,8.454054061719443,8.454054061719443,-0.38584466443321536,-0.38584466443321536,-0.38584466443321536,8.83989872615266,8.83989872615266,8.83989872615266,0.0,0.0,0.0,30.049433455850682
6,2001-01-09,21.597588243621566,-14.438112634139083,77.10063523608096,21.597588243621566,21.597588243621566,9.107052483931666,9.107052483931666,9.107052483931666,-0.10202092709851193,-0.10202092709851193,-0.10202092709851193,9.209073411030179,9.209073411030179,9.209073411030179,0.0,0.0,0.0,30.704640727553233
7,2001-01-10,21.59979709311189,-14.8663721510039,75.19960495851149,21.59979709311189,21.59979709311189,9.945625471684336,9.945625471684336,9.945625471684336,0.37076540679344516,0.37076540679344516,0.37076540679344516,9.57486006489089,9.57486006489089,9.57486006489089,0.0,0.0,0.0,31.545422564796226
8,2001-01-11,21.602005942602215,-11.117516344893142,80.58945137892219,21.602005942602215,21.602005942602215,10.622979741012456,10.622979741012456,10.622979741012456,0.6889319772823062,0.6889319772823062,0.6889319772823062,9.93404776373015,9.93404776373015,9.93404776373015,0.0,0.0,0.0,32.22498568361467
9,2001-01-12,21.604214792092538,-14.431545556442304,79.0361458941393,21.604214792092538,21.604214792092538,10.966841568864853,10.966841568864853,10.966841568864853,0.6837449458428795,0.6837449458428795,0.6837449458428795,10.283096623021972,10.283096623021972,10.283096623021972,0.0,0.0,0.0,32.57105636095739
10,2001-01-15,21.61084134056351,-12.579566100600928,81.16327203831683,21.61084134056351,21.61084134056351,10.844696502925174,10.844696502925174,10.844696502925174,-0.3858446644326663,-0.3858446644326663,-0.3858446644326663,11.230541167357842,11.230541167357842,11.230541167357842,0.0,0.0,0.0,32.455537843488685
11,2001-01-16,21.61305019005383,-10.463044752980727,80.62640724724326,21.61305019005383,21.61305019005383,11.397577827683723,11.397577827683723,11.397577827683723,-0.10202092709864817,-0.10202092709864817,-0.10202092709864817,11.49959875478237,11.49959875478237,11.49959875478237,0.0,0.0,0.0,33.01062801773755
12,2001-01-17,21.615259039544156,-12.350069135681206,81.78494304088105,21.615259039544156,21.615259039544156,12.10933102063115,12.10933102063115,12.10933102063115,0.3707654067941079,0.3707654067941079,0.3707654067941079,11.738565613837041,11.738565613837041,11.738565613837041,0.0,0.0,0.0,33.7245900601753
13,2001-01-18,21.61746788903448,-12.81016593016484,78.68591550297992,21.61746788903448,21.61746788903448,12.632589796639762,12.632589796639762,12.632589796639762,0.6889319772823612,0.6889319772823612,0.6889319772823612,11.943657819357401,11.943657819357401,11.943657819357401,0.0,0.0,0.0,34.25005768567424
14,2001-01-19,21.619676738524806,-10.861440386257144,81.17670125721833,21.619676738524806,21.619676738524806,12.79514357283724,12.79514357283724,12.79514357283724,0.683744945844031,0.683744945844031,0.683744945844031,12.11139862699321,12.11139862699321,12.11139862699321,0.0,0.0,0.0,34.41482031136205
15,2001-01-22,21.62630328699578,-11.89855954070156,75.47515390909594,21.62630328699578,21.62630328699578,11.976568964885429,11.976568964885429,11.976568964885429,-0.385844664432117,-0.385844664432117,-0.385844664432117,12.362413629317546,12.362413629317546,12.362413629317546,0.0,0.0,0.0,33.60287225188121
16,2001-01-23,21.628512136486105,-11.765851097325895,80.73149477327122,21.628512136486105,21.628512136486105,12.253465641257367,12.253465641257367,12.253465641257367,-0.10202092709818418,-0.10202092709818418,-0.10202092709818418,12.35548656835555,12.35548656835555,12.35548656835555,0.0,0.0,0.0,33.88197777774347
17,2001-01-24,21.630720985976428,-12.891250475844535,81.50540180647818,21.630720985976428,21.630720985976428,12.672433480207323,12.672433480207323,12.672433480207323,0.37076540679307574,0.37076540679307574,0.37076540679307574,12.301668073414247,12.301668073414247,12.301668073414247,0.0,0.0,0.0,34.30315446618375
