season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,27,1. FC Nürnberg ,VfB Stuttgart ,2,0,1,0,11,13,"124,62 km","121,28 km",441,386,323,257,118,129,73%,67%,53%,47%,51%,49%,18,11,11,18,2,0,6,4
13-14,27,TSG Hoffenheim ,Hannover 96 ,3,1,1,1,20,8,"121,09 km","119,55 km",455,530,351,427,104,103,77%,81%,46%,54%,58%,42%,16,15,14,16,4,0,5,1
13-14,27,FC Augsburg ,Bayer 04 Leverkusen ,1,3,0,1,22,13,"118,4 km","119,52 km",501,387,413,304,88,83,82%,79%,58%,42%,50%,50%,14,17,17,10,2,5,10,3
13-14,27,Hamburger SV ,SC Freiburg ,1,1,0,0,21,11,"112,76 km","122,88 km",423,392,323,273,100,119,76%,70%,52%,48%,54%,46%,17,15,15,17,2,1,6,3
13-14,27,Eintracht Frankfurt ,Bor. Mönchengladbach ,1,0,1,0,14,9,"119,33 km","121,19 km",388,616,303,517,85,99,78%,84%,40%,60%,55%,45%,11,12,12,11,7,1,11,7
13-14,28,FC Schalke 04 ,Hertha BSC ,2,0,1,0,13,11,"122,35 km","118,05 km",445,400,326,284,119,116,73%,71%,52%,48%,57%,43%,17,19,18,17,1,3,1,4
13-14,28,Bayern München ,TSG Hoffenheim ,3,3,3,2,11,20,"115,04 km","121,22 km",601,287,484,177,117,110,81%,62%,67%,33%,53%,47%,13,18,18,13,3,4,3,1
13-14,28,Bayer 04 Leverkusen ,Eintracht Braunschweig ,1,1,0,0,15,9,"115,19 km","118,3 km",518,247,410,165,108,82,79%,67%,67%,33%,57%,43%,16,13,12,16,5,4,7,1
13-14,28,VfB Stuttgart ,Borussia Dortmund ,2,3,2,1,11,17,"113,55 km","118,76 km",270,612,168,507,102,105,62%,83%,31%,69%,52%,48%,15,14,14,14,1,2,2,9
13-14,28,VfL Wolfsburg ,Eintracht Frankfurt ,2,1,0,1,22,11,"111,44 km","108,04 km",423,307,339,198,84,109,80%,64%,58%,42%,55%,45%,19,19,19,17,1,5,4,3
13-14,28,1. FSV Mainz 05 ,FC Augsburg ,3,0,2,0,14,12,"118,68 km","115,26 km",441,385,362,282,79,103,82%,73%,53%,47%,53%,47%,14,20,20,14,1,1,5,8
13-14,28,SC Freiburg ,1. FC Nürnberg ,3,2,1,2,14,9,"122,07 km","119,33 km",361,328,261,232,100,96,72%,71%,52%,48%,44%,56%,16,22,21,16,2,1,8,4
13-14,28,Bor. Mönchengladbach ,Hamburger SV ,3,1,1,1,17,17,"114,37 km","114,88 km",634,373,558,298,76,75,88%,80%,62%,38%,49%,51%,11,15,14,11,3,3,6,10
13-14,28,Hannover 96 ,Werder Bremen ,1,2,1,0,9,11,"116,22 km","115,56 km",406,397,288,276,118,121,71%,70%,52%,48%,44%,56%,19,13,13,17,0,9,10,8
13-14,29,Hamburger SV ,Bayer 04 Leverkusen ,2,1,1,0,18,19,"120,82 km","121,12 km",358,509,251,384,107,125,70%,75%,40%,60%,46%,54%,16,15,15,15,1,1,4,14
13-14,29,VfB Stuttgart ,SC Freiburg ,2,0,0,0,12,18,"117,99 km","120,03 km",450,362,357,278,93,84,79%,77%,56%,44%,52%,48%,13,17,17,12,1,3,3,6
13-14,29,Werder Bremen ,FC Schalke 04 ,1,1,1,1,19,9,"115,79 km","113,53 km",334,436,235,333,99,103,70%,76%,44%,56%,52%,48%,17,20,18,17,2,2,9,4
13-14,29,1. FC Nürnberg ,Bor. Mönchengladbach ,0,2,0,1,14,15,"118,41 km","117,19 km",526,400,443,318,83,82,84%,80%,57%,43%,56%,44%,7,16,16,7,5,2,8,5
13-14,29,FC Augsburg ,Bayern München ,1,0,1,0,11,16,"115,92 km","112,65 km",322,686,219,591,103,95,68%,86%,33%,67%,42%,58%,16,13,13,15,5,1,3,4
13-14,29,Eintracht Frankfurt ,1. FSV Mainz 05 ,2,0,0,0,14,17,"109,76 km","109,71 km",323,428,240,356,83,72,74%,83%,43%,57%,57%,43%,11,18,18,10,5,4,2,6
13-14,29,Borussia Dortmund ,VfL Wolfsburg ,2,1,0,1,10,19,"118,03 km","115,03 km",376,415,237,286,139,129,63%,69%,48%,52%,52%,48%,15,14,13,13,3,3,7,2
13-14,29,Eintracht Braunschweig ,Hannover 96 ,3,0,2,0,11,11,"116,24 km","111,71 km",228,472,130,351,98,121,57%,74%,33%,67%,54%,46%,17,16,16,16,4,2,5,6
13-14,29,Hertha BSC ,TSG Hoffenheim ,1,1,1,1,11,11,"112,72 km","115,72 km",365,442,206,277,159,165,56%,63%,45%,55%,46%,54%,19,17,17,18,1,2,3,4
13-14,30,FC Schalke 04 ,Eintracht Frankfurt ,2,0,0,0,22,10,"116,74 km","111,31 km",501,365,420,270,81,95,84%,74%,57%,43%,44%,56%,15,14,12,14,1,0,4,5
13-14,30,Bor. Mönchengladbach ,VfB Stuttgart ,1,1,0,1,14,18,"117,27 km","121,43 km",640,358,545,259,95,99,85%,72%,64%,36%,49%,51%,12,15,15,12,2,1,6,5
13-14,30,Hannover 96 ,Hamburger SV ,2,1,1,0,31,5,"111,5 km","111,7 km",331,293,229,168,102,125,69%,57%,53%,47%,51%,49%,20,16,16,18,1,1,5,2
13-14,30,VfL Wolfsburg ,1. FC Nürnberg ,4,1,2,1,24,5,"114,14 km","114,36 km",365,367,273,273,92,94,75%,74%,50%,50%,48%,52%,13,13,13,12,3,4,11,2
13-14,30,SC Freiburg ,Eintracht Braunschweig ,2,0,1,0,19,13,"119,48 km","116,66 km",383,385,281,275,102,110,73%,71%,50%,50%,52%,48%,15,20,20,15,2,2,3,3
13-14,30,1. FSV Mainz 05 ,Werder Bremen ,3,0,3,0,23,9,"115,85 km","115,37 km",461,279,373,180,88,99,81%,65%,60%,40%,58%,42%,12,17,16,12,6,4,3,12
13-14,30,Bayern München ,Borussia Dortmund ,0,3,0,1,14,9,"109,96 km","117,64 km",685,283,585,189,100,94,85%,67%,71%,29%,52%,48%,17,13,12,15,3,9,12,2
13-14,30,Bayer 04 Leverkusen ,Hertha BSC ,2,1,2,1,17,9,"116,27 km","117,92 km",464,398,336,279,128,119,72%,70%,53%,47%,55%,45%,17,13,13,17,1,1,7,2
13-14,30,TSG Hoffenheim ,FC Augsburg ,2,0,2,0,26,23,"120,61 km","114,97 km",339,431,238,320,101,111,70%,74%,44%,56%,43%,57%,22,19,18,21,0,1,6,10
13-14,31,Eintracht Frankfurt ,Hannover 96 ,2,3,1,3,14,16,"117,08 km","121,04 km",449,349,319,246,130,103,71%,70%,56%,44%,56%,44%,24,22,21,24,4,3,3,4
13-14,31,Borussia Dortmund ,1. FSV Mainz 05 ,4,2,2,1,30,9,"117,1 km","114,38 km",423,418,296,295,127,123,70%,71%,50%,50%,53%,48%,9,18,15,8,4,4,12,2
13-14,31,Werder Bremen ,TSG Hoffenheim ,3,1,1,1,12,14,"113,37 km","111,88 km",339,348,212,227,127,121,63%,65%,49%,51%,51%,49%,11,24,24,10,1,3,8,6
