season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,16,Hannover 96 ,1. FC Nürnberg ,3,3,0,3,21,17,"115,5 km","120,82 km",427,394,307,287,120,107,72%,73%,52%,48%,53%,47%,13,20,20,13,0,5,5,7
13-14,16,TSG Hoffenheim ,Borussia Dortmund ,2,2,2,1,14,16,"119,14 km","120,9 km",369,496,255,353,114,143,69%,71%,43%,57%,53%,47%,19,13,13,19,2,6,2,4
13-14,16,1. FSV Mainz 05 ,Bor. Mönchengladbach ,0,0,0,0,6,10,"124,51 km","117,13 km",407,823,319,730,88,93,78%,89%,34%,66%,44%,56%,7,8,8,7,4,1,1,4
13-14,16,FC Augsburg ,Eintracht Braunschweig ,4,1,3,0,21,9,"120,01 km","117,41 km",524,416,441,341,83,75,84%,82%,56%,44%,54%,46%,17,15,15,17,0,0,5,0
13-14,16,VfL Wolfsburg ,VfB Stuttgart ,3,1,1,0,13,9,"115,58 km","114,3 km",422,413,317,309,105,104,75%,75%,50%,50%,53%,47%,18,20,19,16,1,3,2,4
13-14,16,FC Schalke 04 ,SC Freiburg ,2,0,1,0,14,8,"119,19 km","121,68 km",477,362,363,254,114,108,76%,70%,57%,43%,56%,44%,17,19,19,16,0,3,8,4
13-14,16,Bayer 04 Leverkusen ,Eintracht Frankfurt ,0,1,0,0,15,16,"115,36 km","115,99 km",509,343,421,268,88,75,83%,78%,60%,40%,55%,45%,15,23,21,13,4,0,8,4
13-14,17,Eintracht Frankfurt ,FC Augsburg ,1,1,1,1,5,9,"115,42 km","118,39 km",528,337,436,247,92,90,83%,73%,61%,39%,46%,54%,18,14,12,17,2,5,4,3
13-14,17,Borussia Dortmund ,Hertha BSC ,1,2,1,2,20,6,"126,34 km","123,65 km",664,302,527,208,137,94,79%,69%,67%,33%,51%,49%,20,19,19,18,1,1,5,0
13-14,17,Werder Bremen ,Bayer 04 Leverkusen ,1,0,0,0,11,21,"116,94 km","112,41 km",249,466,176,382,73,84,71%,82%,35%,65%,48%,52%,14,10,8,13,0,2,5,9
13-14,17,SC Freiburg ,Hannover 96 ,2,1,2,0,11,20,"121,62 km","116,13 km",395,480,274,360,121,120,69%,75%,45%,55%,47%,53%,16,13,13,16,3,2,0,1
13-14,17,Hamburger SV ,1. FSV Mainz 05 ,2,3,1,0,18,14,"114,3 km","118,13 km",331,513,244,433,87,80,74%,84%,41%,59%,49%,51%,20,13,13,19,0,3,5,3
13-14,17,Eintracht Braunschweig ,TSG Hoffenheim ,1,0,1,0,14,16,"115,97 km","114,11 km",274,473,171,337,103,136,62%,71%,38%,62%,51%,49%,17,19,19,17,4,2,7,8
13-14,17,1. FC Nürnberg ,FC Schalke 04 ,0,0,0,0,15,8,"119,96 km","118,02 km",552,363,458,262,94,101,83%,72%,60%,40%,48%,52%,14,19,16,12,3,2,9,4
13-14,17,Bor. Mönchengladbach ,VfL Wolfsburg ,2,2,0,0,14,18,"114,6 km","120,98 km",491,458,403,383,88,75,82%,84%,52%,48%,56%,44%,10,12,11,10,4,1,4,4
13-14,17,VfB Stuttgart ,Bayern München ,1,2,1,0,11,24,"121,27 km","119,02 km",245,714,145,622,100,92,59%,87%,27%,73%,48%,52%,13,10,10,11,1,1,2,8
13-14,18,Bor. Mönchengladbach ,Bayern München ,0,2,0,1,10,24,"123,16 km","121,6 km",406,739,321,652,85,87,79%,88%,36%,64%,46%,54%,12,9,7,11,3,5,5,5
13-14,18,Borussia Dortmund ,FC Augsburg ,2,2,1,0,18,6,"124,63 km","123,32 km",476,453,377,344,99,109,79%,76%,51%,49%,53%,47%,17,25,23,17,1,1,5,1
13-14,18,VfB Stuttgart ,1. FSV Mainz 05 ,1,2,1,1,14,10,"118,35 km","121,39 km",440,452,331,365,109,87,75%,81%,50%,50%,47%,53%,17,13,12,17,0,4,5,3
13-14,18,VfL Wolfsburg ,Hannover 96 ,1,3,1,1,25,10,"115,7 km","117,52 km",593,290,506,189,87,101,85%,65%,67%,33%,54%,46%,14,17,14,14,4,0,7,3
13-14,18,1. FC Nürnberg ,TSG Hoffenheim ,4,0,2,0,16,12,"119,77 km","116,4 km",362,404,252,287,110,117,70%,71%,48%,52%,55%,45%,19,25,24,18,2,4,3,3
13-14,18,SC Freiburg ,Bayer 04 Leverkusen ,3,2,1,2,13,15,"125,96 km","119,02 km",386,512,303,413,83,99,78%,81%,43%,57%,45%,55%,14,10,10,14,5,2,4,8
13-14,18,Eintracht Frankfurt ,Hertha BSC ,1,0,1,0,5,7,"118,4 km","117,88 km",390,524,272,413,118,111,70%,79%,43%,57%,52%,48%,20,23,22,20,2,2,1,2
13-14,18,Werder Bremen ,Eintracht Braunschweig ,0,0,0,0,12,7,"115,49 km","118,64 km",407,417,302,299,105,118,74%,72%,49%,51%,51%,49%,20,17,17,19,6,1,6,3
13-14,18,Hamburger SV ,FC Schalke 04 ,0,3,0,1,12,12,"112,04 km","118,01 km",514,456,419,358,95,98,82%,79%,53%,47%,52%,48%,9,22,21,9,4,4,3,3
13-14,18,VfB Stuttgart ,Bayern München ,1,2,1,0,11,24,"121,27 km","119,02 km",245,714,145,622,100,92,59%,87%,27%,73%,48%,52%,13,10,10,11,1,1,2,8
13-14,19,Eintracht Braunschweig ,Borussia Dortmund ,1,2,0,1,16,20,"123,82 km","122,8 km",347,443,214,321,133,122,62%,72%,45%,55%,51%,49%,18,17,15,17,1,1,7,8
13-14,19,FC Schalke 04 ,VfL Wolfsburg ,2,1,1,0,13,11,"118,83 km","116,33 km",427,450,332,351,95,99,78%,78%,49%,51%,53%,47%,16,14,13,15,3,1,4,6
