,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2001-01-01,21.584981380688475,-23.278532401425537,73.93333254134174,21.584981380688475,21.584981380688475,5.993518425464575,5.993518425464575,5.993518425464575,-0.310742697866343,-0.310742697866343,-0.310742697866343,6.304261123330918,6.304261123330918,6.304261123330918,0.0,0.0,0.0,27.57849980615305
1,2001-01-02,21.58718017405878,-13.65765449691007,73.89303100143238,21.58718017405878,21.58718017405878,6.671588120116899,6.671588120116899,6.671588120116899,-0.026506672893573245,-0.026506672893573245,-0.026506672893573245,6.698094793010473,6.698094793010473,6.698094793010473,0.0,0.0,0.0,28.25876829417568
2,2001-01-03,21.589378967429084,-17.8114220429737,76.12865776248104,21.589378967429084,21.589378967429084,7.536995506842892,7.536995506842892,7.536995506842892,0.44474498529217804,0.44474498529217804,0.44474498529217804,7.092250521550715,7.092250521550715,7.092250521550715,0.0,0.0,0.0,29.126374474271977
3,2001-01-04,21.591577760799392,-13.961733209121686,78.59255610159896,21.591577760799392,21.591577760799392,8.128303266408075,8.128303266408075,8.128303266408075,0.6424567621282667,0.6424567621282667,0.6424567621282667,7.485846504279807,7.485846504279807,7.485846504279807,0.0,0.0,0.0,29.719881027207467
4,2001-01-05,21.593776554169697,-17.003362513356695,76.93686684503386,21.593776554169697,21.593776554169697,8.503760535662904,8.503760535662904,8.503760535662904,0.6259610768821947,0.6259610768821947,0.6259610768821947,7.87779945878071,7.87779945878071,7.87779945878071,0.0,0.0,0.0,30.0975370898326
5,2001-01-08,21.60037293428061,-16.388671777898008,77.6186297504976,21.60037293428061,21.60037293428061,8.718669951039345,8.718669951039345,8.718669951039345,-0.3107426978673049,-0.3107426978673049,-0.3107426978673049,9.02941264890665,9.02941264890665,9.02941264890665,0.0,0.0,0.0,30.319042885319956
6,2001-01-09,21.602571727650915,-15.661042257322874,76.35876672313601,21.602571727650915,21.602571727650915,9.372617866539056,9.372617866539056,9.372617866539056,-0.026506672893865425,-0.026506672893865425,-0.026506672893865425,9.399124539432922,9.399124539432922,9.399124539432922,0.0,0.0,0.0,30.97518959418997
7,2001-01-10,21.604770521021223,-12.028379558987197,74.8925379498539,21.604770521021223,21.604770521021223,10.202821002350012,10.202821002350012,10.202821002350012,0.44474498529183215,0.44474498529183215,0.44474498529183215,9.75807601705818,9.75807601705818,9.75807601705818,0.0,0.0,0.0,31.807591523371237
8,2001-01-11,21.606969314391527,-14.004954553682744,76.21274547856862,21.606969314391527,21.606969314391527,10.746159583378047,10.746159583378047,10.746159583378047,0.6424567621285564,0.6424567621285564,0.6424567621285564,10.103702821249492,10.103702821249492,10.103702821249492,0.0,0.0,0.0,32.35312889776957
9,2001-01-12,21.609168107761832,-12.506340363659112,82.88364451520621,21.609168107761832,21.609168107761832,11.059205046275146,11.059205046275146,11.059205046275146,0.6259610768815317,0.6259610768815317,0.6259610768815317,10.433243969393615,10.433243969393615,10.433243969393615,0.0,0.0,0.0,32.66837315403698
10,2001-01-15,21.61576448787274,-9.444119700535301,77.0974073123159,21.61576448787274,21.61576448787274,10.9850257233115,10.9850257233115,10.9850257233115,-0.31074269786666886,-0.31074269786666886,-0.31074269786666886,11.29576842117817,11.29576842117817,11.29576842117817,0.0,0.0,0.0,32.60079021118424
11,2001-01-16,21.61796328124305,-13.480045564389071,80.21974402813055,21.61796328124305,21.61796328124305,11.504626711085995,11.504626711085995,11.504626711085995,-0.02650667289399827,-0.02650667289399827,-0.02650667289399827,11.531133383979993,11.531133383979993,11.531133383979993,0.0,0.0,0.0,33.12258999232905
12,2001-01-17,21.620162074613354,-14.771416588982884,78.50608601862727,21.620162074613354,21.620162074613354,12.180231036455925,12.180231036455925,12.180231036455925,0.444744985292405,0.444744985292405,0.444744985292405,11.735486051163521,11.735486051163521,11.735486051163521,0.0,0.0,0.0,33.80039311106928
13,2001-01-18,21.62236086798366,-10.428639567898056,81.46707134221602,21.62236086798366,21.62236086798366,12.548544306432674,12.548544306432674,12.548544306432674,0.6424567621286089,0.6424567621286089,0.6424567621286089,11.906087544304064,11.906087544304064,11.906087544304064,0.0,0.0,0.0,34.17090517441633
14,2001-01-19,21.624559661353963,-11.963369733938501,82.69691075767354,21.624559661353963,21.624559661353963,12.666419160887637,12.666419160887637,12.666419160887637,0.6259610768826537,0.6259610768826537,0.6259610768826537,12.040458084004984,12.040458084004984,12.040458084004984,0.0,0.0,0.0,34.2909788222416
15,2001-01-22,21.63115604146488,-11.8582870542876,79.8783016207234,21.63115604146488,21.63115604146488,11.896112192791845,11.896112192791845,11.896112192791845,-0.31074269786603276,-0.31074269786603276,-0.31074269786603276,12.206854890657878,12.206854890657878,12.206854890657878,0.0,0.0,0.0,33.527268234256724
16,2001-01-23,21.633354834835185,-12.416601860068004,78.26958338914388,21.633354834835185,21.633354834835185,12.152768568658875,12.152768568658875,12.152768568658875,-0.02650667289354009,-0.02650667289354009,-0.02650667289354009,12.179275241552416,12.179275241552416,12.179275241552416,0.0,0.0,0.0,33.78612340349406
17,2001-01-24,21.63555362820549,-8.740881278269375,83.24885120217247,21.63555362820549,21.63555362820549,12.554201702675494,12.554201702675494,12.554201702675494,0.4447449852915168,0.4447449852915168,0.4447449852915168,12.109456717383978,12.109456717383978,12.109456717383978,0.0,0.0,0.0,34.189755330880985
